local_authority,district,constituency,ward ,polling_station,facility,dabengwa_zapu,mugabe_zanu_pf,mukwazhe_zdp,ncube_mdc,tsvangirai_mdc_t,rejected,unaccounted_for,votes_cast,valid_votes
Bikita RDC,Bikita,Bikita South,6,Kushingirira Sec Sch,School,3,179,1,18,124,7,0,332,325
Bikita RDC,Bikita,Bikita South,6,Mutikizizi Primary Sch,School,4,197,1,6,45,6,0,259,253
Bikita RDC,Bikita,Bikita South,7,Chipendeke Sec Sch,School,9,283,1,8,105,9,0,415,406
Bikita RDC,Bikita,Bikita South,7,Gwariro Primary Sch,School,4,171,0,13,89,13,0,290,277
Bikita RDC,Bikita,Bikita South,7,Ziki Primary Sch,School,5,314,1,4,44,8,0,376,368
Bikita RDC,Bikita,Bikita South,7,Zirabada Primary Sch,School,10,267,4,12,68,13,0,374,361
Bikita RDC,Bikita,Bikita South,8,Chada Primary Sch,School,6,232,3,24,164,13,0,442,429
Bikita RDC,Bikita,Bikita South,8,Chitasa Clinic,Clinic,5,150,1,7,30,21,0,214,193
Bikita RDC,Bikita,Bikita South,8,Mukore Sec Sch,School,0,105,2,12,62,8,0,189,181
Bikita RDC,Bikita,Bikita South,8,Nematiore Primary Sch,School,3,175,0,6,43,5,0,232,227
Bikita RDC,Bikita,Bikita South,8,Nematiore Village,Tent,5,169,1,16,91,3,0,285,282
Bikita RDC,Bikita,Bikita South,8,Zengeya Primary Sch,School,4,241,1,31,126,16,0,419,403
Bikita RDC,Bikita,Bikita South,26,Chedutu Primary Sch,School,10,396,1,11,90,27,0,535,508
Bikita RDC,Bikita,Bikita South,26,Chinyika Primary Sch,School,2,126,4,0,37,7,0,176,169
Bikita RDC,Bikita,Bikita South,26,Chinyika Sec Sch,School,4,163,1,2,23,3,0,196,193
Bikita RDC,Bikita,Bikita South,26,Makota Primary Sch,School,1,155,0,8,67,5,0,236,231
Bikita RDC,Bikita,Bikita South,28,Checheni Primary Sch,School,0,169,0,3,38,5,0,215,210
Bikita RDC,Bikita,Bikita South,28,Chibvuure Primary Sch,School,1,120,0,3,67,1,0,192,191
Bikita RDC,Bikita,Bikita South,28,Hwami Borehole Farm 236,Tent,0,47,0,7,107,5,0,166,161
Bikita RDC,Bikita,Bikita South,28,Pamukamba Farm 112,Tent,0,47,1,0,23,0,,71,71
Bikita RDC,Bikita,Bikita South,29,Chitenderano Primary Sch,School,1,31,0,1,29,2,0,64,62
Bikita RDC,Bikita,Bikita South,29,Mujiji Primary Sch,School,0,91,0,0,37,2,0,130,128
Bikita RDC,Bikita,Bikita South,29,Nyahunda ZCC Church,School,1,99,0,6,83,4,0,193,189
Bikita RDC,Bikita,Bikita South,29,Turgwi Primary Sch,School,1,161,0,5,13,3,0,183,180
Bikita RDC,Bikita,Bikita West,5,Mandara Primary Sch,School,2,270,2,4,66,17,0,361,344
Bikita RDC,Bikita,Bikita West,5,Marecha Primary Sch,School,4,231,3,22,85,10,0,355,345
Bikita RDC,Bikita,Bikita West,5,Musiya Primary Sch,School,3,167,1,12,73,13,0,269,256
Bikita RDC,Bikita,Bikita West,5,Pfupajena Primary Sch,School,3,172,4,13,135,17,,344,327
Bikita RDC,Bikita,Bikita West,5,Simbaravanhu Sec Sch,School,1,182,1,13,83,7,0,287,280
Bikita RDC,Bikita,Bikita West,9,Agritex Hall D.A's Office,Hall,0,379,0,15,152,18,0,564,546
Bikita RDC,Bikita,Bikita West,9,Fambidzanai Sec Sch,School,2,203,2,9,71,9,0,296,287
Bikita RDC,Bikita,Bikita West,9,Mandiki Primary Sch,School,3,117,4,13,120,11,0,268,257
Bikita RDC,Bikita,Bikita West,9,Ngondyore Primary Sch,School,8,360,6,16,141,30,0,561,531
Bikita RDC,Bikita,Bikita West,9,Nyemba Primary Satelite,Tent,0,116,0,1,45,5,0,167,162
Bikita RDC,Bikita,Bikita West,9,Nyemba Primary Sch,School,1,164,1,5,57,4,0,232,228
Bikita RDC,Bikita,Bikita West,9,Vushe Primary Sch,School,2,93,2,7,109,8,0,221,213
Bikita RDC,Bikita,Bikita West,10,Bikita Masunda Sec,School,8,134,2,12,67,7,0,230,223
Bikita RDC,Bikita,Bikita West,10,Hozvi Primary Sch,School,3,219,1,0,33,36,0,292,256
Bikita RDC,Bikita,Bikita West,10,Jaravaza Primary Sch,School,5,540,3,22,143,10,0,723,713
Bikita RDC,Bikita,Bikita West,10,Mukanganwi Sec Sch,School,2,248,1,1,66,9,0,327,318
Bikita RDC,Bikita,Bikita West,10,Shereni B/Centre,School,0,72,0,0,12,1,0,85,84
Bikita RDC,Bikita,Bikita West,11,Beardmore Primary Sch,School,4,153,2,14,105,16,0,294,278
Bikita RDC,Bikita,Bikita West,11,Bikita Fashu Sec Sch,School,1,198,1,9,110,7,0,326,319
Bikita RDC,Bikita,Bikita West,11,Domboshava Primary Sch,School,2,177,1,9,46,4,0,239,235
Bikita RDC,Bikita,Bikita West,11,Guru Village,School,1,139,3,5,61,11,0,220,209
Bikita RDC,Bikita,Bikita West,11,Mangondo Sec Sch,School,1,204,2,13,123,5,0,348,343
Bikita RDC,Bikita,Bikita West,11,Naude Quary Site,Tent,1,264,4,4,115,21,0,409,388
Bikita RDC,Bikita,Bikita West,11,Rusununguko Sec Sch,School,0,179,0,0,17,1,0,197,196
Bikita RDC,Bikita,Bikita West,12,BirivengeSec Sch,School,0,174,0,6,51,7,0,238,231
Bikita RDC,Bikita,Bikita West,12,Chikuku Primary Sch,School,0,194,1,3,40,10,0,248,238
Bikita RDC,Bikita,Bikita West,12,Dungu Arex House,Tent,3,152,3,5,54,8,0,225,217
Bikita RDC,Bikita,Bikita West,12,Dungu Primary Sch,School,2,112,0,3,43,2,0,162,160
Bikita RDC,Bikita,Bikita West,12,Nyika Clinic,Clinic,1,160,0,12,98,7,0,278,271
Bikita RDC,Bikita,Bikita West,12,St Mary's Roman Catholic,Church,1,125,1,12,97,7,0,243,236
Bikita RDC,Bikita,Bikita West,13,Bikita Clinic,Clinic,0,73,0,3,132,7,0,215,208
Bikita RDC,Bikita,Bikita West,13,Duma Chief's Hall,School,1,303,0,13,364,10,0,691,681
Bikita RDC,Bikita,Bikita West,13,Gumunyu Primary Sch,School,4,300,1,13,235,22,0,575,553
Bikita RDC,Bikita,Bikita West,13,Kufakunesu Village,Tent,0,160,3,4,62,10,0,239,229
Bikita RDC,Bikita,Bikita West,13,Mupakwa Primary Sc,School,3,199,4,18,115,8,0,347,339
Bikita RDC,Bikita,Bikita West,13,Mutarara Primary Sch,School,4,243,1,15,115,12,0,390,378
Bikita RDC,Bikita,Bikita West,19,Charamba Primary Sch,School,2,234,2,15,83,7,0,343,336
Bikita RDC,Bikita,Bikita West,19,Chebvute B/Centre,Tent,1,156,0,11,167,12,0,347,335
Bikita RDC,Bikita,Bikita West,19,Chivaka Roads Camp,Camp,1,98,0,16,64,7,0,186,179
Bikita RDC,Bikita,Bikita West,19,Makondo Primary Sch,School,4,156,2,13,152,12,1,339,327
Bikita RDC,Bikita,Bikita West,19,Maregere B/Centre,Tent,2,173,3,3,57,14,0,252,238
Bikita RDC,Bikita,Bikita West,19,Zvinoitavamwe B/Centre,Tent,0,85,0,4,38,6,0,133,127
Bikita RDC,Bikita,Bikita West,22,Chitsanga Primary Sch,School,1,367,2,2,73,6,0,451,445
Bikita RDC,Bikita,Bikita West,22,Maboke Primary Sch,School,3,217,4,11,76,11,0,322,311
Bikita RDC,Bikita,Bikita West,22,Masarira Primary Sch,School,0,220,0,6,69,6,0,301,295
Bikita RDC,Bikita,Bikita West,22,Mupamaonde Primary Sch,School,0,218,2,1,45,6,0,272,266
Bikita RDC,Bikita,Bikita West,22,Murwira Primary Sch,School,3,224,0,5,68,4,0,304,300
Bikita RDC,Bikita,Bikita West,22,Muvhuti Primary Sch,School,1,91,3,2,62,1,0,160,159
Bikita RDC,Bikita,Bikita West,22,Uchere Sec Sch,School,0,182,0,4,58,12,,256,244
Bikita RDC,Bikita,Bikita West,23,Mungezi Clinic,Clinic,1,56,0,1,11,0,0,69,69
Bikita RDC,Bikita,Bikita West,23,Mungezi Primary Sch,School,0,63,0,0,26,3,0,92,89
Bikita RDC,Bikita,Bikita West,30,Bikita Minerals Primary Sc,School,0,72,0,2,97,0,0,171,171
Bikita RDC,Bikita,Bikita West,30,Recreational Hall,Tent,0,102,1,2,129,1,0,235,234
Bikita RDC,Bikita,Bikita West,32,Chivanga proposed B/Cent,Tent,1,219,5,9,76,6,0,316,310
Bikita RDC,Bikita,Bikita West,32,Makotore Primary Sch,School,4,240,2,10,95,8,0,359,351
Bikita RDC,Bikita,Bikita West,32,Marozva Primary Sch,School,1,129,5,8,76,8,0,227,219
Bikita RDC,Bikita,Bikita West,32,Pamushana Mission,School,1,120,0,5,84,5,0,215,210
Bikita RDC,Bikita,Bikita West,32,Zinwa Water Works,Hall,0,213,2,5,73,7,0,300,293
Bikita RDC,Bikita,Bikita East,14,Danha B/C,Tent,0,66,1,7,148,4,0,226,222
Bikita RDC,Bikita,Bikita East,14,Dhiyo B/C,Tent,0,130,0,21,119,14,0,284,270
Bikita RDC,Bikita,Bikita East,14,Makamba T/C,T/centre,8,184,2,31,156,10,0,391,381
Bikita RDC,Bikita,Bikita East,14,Marirangwe Sec School,School,2,80,2,18,116,10,0,228,218
Bikita RDC,Bikita,Bikita East,14,Negovano Primary Sch,School,4,247,3,11,100,6,0,371,365
Bikita RDC,Bikita,Bikita East,15,Chivaka Primary School,School,2,47,0,7,63,3,0,122,119
Bikita RDC,Bikita,Bikita East,15,Magurwe Primary School,School,2,261,2,13,73,10,0,361,351
Bikita RDC,Bikita,Bikita East,15,Mbirashava Primary Schoo,School,2,212,3,26,141,9,0,393,384
Bikita RDC,Bikita,Bikita East,15,Mudzami Primary School,School,2,145,2,14,66,11,0,240,229
Bikita RDC,Bikita,Bikita East,15,Museti Prmary School,School,5,190,1,14,100,7,0,317,310
Bikita RDC,Bikita,Bikita East,15,Norumedzo Primary Sch,School,3,176,5,25,108,5,0,322,317
Bikita RDC,Bikita,Bikita East,15,Silveira High School,School,0,114,4,14,145,9,0,286,277
Bikita RDC,Bikita,Bikita East,16,Betha Primary School,School,4,157,0,9,46,2,0,218,216
Bikita RDC,Bikita,Bikita East,16,Chenerwi B/C,Tent,5,215,1,19,80,14,0,334,320
Bikita RDC,Bikita,Bikita East,16,Chigumisirwa B/Centre,Tent,1,142,2,16,113,18,0,292,274
Bikita RDC,Bikita,Bikita East,16,Chigumisirwa Primary Sch,School,0,152,3,17,82,10,0,264,254
Bikita RDC,Bikita,Bikita East,16,Chikwira Sec Sch,School,0,114,1,12,78,10,0,215,205
Bikita RDC,Bikita,Bikita East,16,Chinyamapere Primary Sch,School,1,108,2,29,182,15,0,337,322
Bikita RDC,Bikita,Bikita East,17,Boora B/Centre,Tent,0,51,4,11,126,5,0,197,192
Bikita RDC,Bikita,Bikita East,17,Boora Primary Sch,School,1,214,3,17,124,12,0,371,359
Bikita RDC,Bikita,Bikita East,17,Masekayi Sec School,School,2,73,1,23,178,10,0,287,277
Bikita RDC,Bikita,Bikita East,17,Munyii B/C,Tent,0,63,0,13,203,5,0,284,279
Bikita RDC,Bikita,Bikita East,17,Mushambanevhu B/Centre,Tent,0,97,3,11,104,10,0,225,215
Bikita RDC,Bikita,Bikita East,17,Runhengu Primary Sch,School,2,138,2,21,137,9,0,309,300
Bikita RDC,Bikita,Bikita East,18,Chikuku Rural Clinic,Clinic,1,154,1,10,76,6,0,248,242
Bikita RDC,Bikita,Bikita East,18,Mamutse Primary Sch,School,3,197,3,25,160,21,0,409,388
Bikita RDC,Bikita,Bikita East,18,Mutsinzwa Primary Sch,School,6,322,3,23,151,26,0,531,505
Bikita RDC,Bikita,Bikita East,20,Chireya Village,Tent,0,10,1,7,45,5,0,68,63
Bikita RDC,Bikita,Bikita East,20,Chirorwe Clinic,School,2,159,3,3,44,4,0,215,211
Bikita RDC,Bikita,Bikita East,20,Chirorwe Primary Sch,School,1,154,9,24,97,8,0,293,285
Bikita RDC,Bikita,Bikita East,20,Gate Maranganyika Aglica,Church,5,198,2,29,64,13,0,311,298
Bikita RDC,Bikita,Bikita East,20,Gomba School Site,School,4,86,0,5,26,8,0,129,121
Bikita RDC,Bikita,Bikita East,20,Musukutwa Primary Sch,School,0,138,0,6,40,3,0,187,184
Bikita RDC,Bikita,Bikita East,20,Nebarwe Primary School,School,4,137,3,22,91,9,0,266,257
Bikita RDC,Bikita,Bikita East,20,Negwari Primary Sch,School,8,185,4,31,112,8,0,348,340
Bikita RDC,Bikita,Bikita East,20,Tafara Secondary  Sch,School,2,173,2,16,46,2,0,241,239
Bikita RDC,Bikita,Bikita East,21,Chakonera Primary Sch,School,0,138,2,14,38,9,0,201,192
Bikita RDC,Bikita,Bikita East,21,Chikumbo B/C,Tent,3,187,1,12,72,17,0,292,275
Bikita RDC,Bikita,Bikita East,21,Chisungo Primary Sch,School,0,28,0,3,45,0,0,76,76
Bikita RDC,Bikita,Bikita East,21,Gangare Primary Sch,School,0,109,3,3,41,0,0,156,156
Bikita RDC,Bikita,Bikita East,21,Rwambiwa Primary Sch,School,2,123,1,25,122,8,0,281,273
Bikita RDC,Bikita,Bikita East,24,Madzivire Clinic,Clinic,0,162,0,4,44,11,0,221,210
Bikita RDC,Bikita,Bikita East,24,Madzivire Primary Sch,School,0,143,1,6,51,3,0,204,201
Bikita RDC,Bikita,Bikita East,24,Masangandara Dam,Tent,4,174,2,4,21,4,0,209,205
Bikita RDC,Bikita,Bikita East,24,Mbuyanehanda Primary Sc,School,1,174,2,18,109,10,0,314,304
Bikita RDC,Bikita,Bikita East,24,Takunda Secondary Sch,School,3,218,2,25,74,15,0,337,322
Bikita RDC,Bikita,Bikita East,25,Muvava Primary Sch,School,7,573,4,16,71,14,0,685,671
Bikita RDC,Bikita,Bikita East,25,Uteke Primary Sch,School,5,430,4,10,127,22,0,598,576
Bikita RDC,Bikita,Bikita East,27,Chishakwe Compund,Shed,0,10,0,0,6,1,0,17,16
Bikita RDC,Bikita,Bikita East,27,Gunundwi Compound,Hall,0,2,0,0,2,0,0,4,4
Bikita RDC,Bikita,Bikita East,27,Mapari Rest Resort,Shed,0,2,0,0,18,0,0,20,20
Bikita RDC,Bikita,Bikita East,27,Matendere Compound,Hall,1,8,0,0,4,0,0,13,13
Bikita RDC,Bikita,Bikita East,27,Mukore Compound,Hall,2,8,0,2,3,0,0,15,15
Bikita RDC,Bikita,Bikita East,27,Sango Compound,Shed,1,29,2,3,24,0,0,59,59
Bikita RDC,Bikita,Bikita East,27,Savuli Compound,Hall,0,0,0,0,0,0,0,0,0
Bikita RDC,Bikita,Bikita East,31,Chikuku Primary Sch,School,6,291,3,21,120,5,0,446,441
Bikita RDC,Bikita,Bikita East,31,Chishangu B/C,Tent,0,144,1,4,53,6,0,208,202
Bikita RDC,Bikita,Bikita East,31,Chivaka Roman Catholic,Church,1,64,2,7,118,8,0,200,192
Bikita RDC,Bikita,Bikita East,31,Mandadzaka Primary Sch,School,2,258,1,36,219,18,0,534,516
Bikita RDC,Bikita,Bikita East,31,Zeka B/C,Tent,0,134,1,18,90,13,0,256,243
Chiredzi RDC,Chiredzi,Chiredzi East,3,Nyahanga Pry  - A,School,8,337,2,9,68,23,0,447,424
Chiredzi RDC,Chiredzi,Chiredzi East,3,Nyahanga Pry  - B,School,5,324,5,13,94,15,0,456,441
Chiredzi RDC,Chiredzi,Chiredzi East,4,Jekero Pry,School,3,132,1,3,39,10,0,188,178
Chiredzi RDC,Chiredzi,Chiredzi East,4,Machoka Pry,School,6,267,2,8,54,16,0,353,337
Chiredzi RDC,Chiredzi,Chiredzi East,4,Mupinga Pry,School,1,161,0,5,75,13,0,255,242
Chiredzi RDC,Chiredzi,Chiredzi East,4,Mupinga Sec,School,2,170,2,5,39,9,0,227,218
Chiredzi RDC,Chiredzi,Chiredzi East,4,Rupangwana T/Centre,T/centre,1,137,3,6,119,4,0,270,266
Chiredzi RDC,Chiredzi,Chiredzi East,5,Chitsa Business Centre,Tent,3,101,2,32,226,24,0,388,364
Chiredzi RDC,Chiredzi,Chiredzi East,5,Ndali Chitsanzeni B/C,Tent,1,246,3,5,41,6,0,302,296
Chiredzi RDC,Chiredzi,Chiredzi East,5,Ndali Pry,School,1,317,5,16,112,44,0,495,451
Chiredzi RDC,Chiredzi,Chiredzi East,6,Chikovo Pry,School,6,288,2,10,32,17,0,355,338
Chiredzi RDC,Chiredzi,Chiredzi East,6,Chilonga Church,Church,11,157,4,3,46,13,0,234,221
Chiredzi RDC,Chiredzi,Chiredzi East,6,Makhosiya Pry,School,2,360,2,3,20,9,0,396,387
Chiredzi RDC,Chiredzi,Chiredzi East,6,Vhelemu Pry,School,5,403,12,7,78,33,0,538,505
Chiredzi RDC,Chiredzi,Chiredzi East,8,Chambuta Pry,School,4,155,1,11,37,9,0,217,208
Chiredzi RDC,Chiredzi,Chiredzi East,8,Chehondo Pry,School,2,236,0,2,12,4,0,256,252
Chiredzi RDC,Chiredzi,Chiredzi East,8,Chibwedziva Pry,School,9,259,9,28,87,23,0,415,392
Chiredzi RDC,Chiredzi,Chiredzi East,8,Chibwedziva Sec,School,10,194,4,20,77,16,0,321,305
Chiredzi RDC,Chiredzi,Chiredzi East,8,Chipinda Pry,School,9,119,6,20,63,18,0,235,217
Chiredzi RDC,Chiredzi,Chiredzi East,8,Masivamele Pry,School,4,258,4,6,80,17,0,369,352
Chiredzi RDC,Chiredzi,Chiredzi East,9,Chingele Pry,School,3,193,3,4,39,14,0,256,242
Chiredzi RDC,Chiredzi,Chiredzi East,9,Chingele Sec,School,0,156,1,5,45,5,0,212,207
Chiredzi RDC,Chiredzi,Chiredzi East,9,Chiteya Pry,School,0,174,0,1,10,1,0,186,185
Chiredzi RDC,Chiredzi,Chiredzi East,9,Machindu Pry,School,4,572,2,1,30,6,0,615,609
Chiredzi RDC,Chiredzi,Chiredzi East,22,Benzi Pry,School,5,384,2,8,36,7,0,442,435
Chiredzi RDC,Chiredzi,Chiredzi East,22,Chionja Pry,School,0,21,0,0,16,0,0,37,37
Chiredzi RDC,Chiredzi,Chiredzi East,22,Dumisani Sec,School,3,185,1,3,20,5,0,217,212
Chiredzi RDC,Chiredzi,Chiredzi East,22,Guluji Pry,School,1,312,1,0,9,16,0,339,323
Chiredzi RDC,Chiredzi,Chiredzi East,22,Mabalauta Camp,Shed,0,27,0,0,4,2,0,33,31
Chiredzi RDC,Chiredzi,Chiredzi East,22,Mwenje Pry,School,2,199,0,2,24,5,0,232,227
Chiredzi RDC,Chiredzi,Chiredzi East,25,Chisambiji Pry,School,2,257,3,5,32,29,0,328,299
Chiredzi RDC,Chiredzi,Chiredzi East,25,Hlanganani Sec,School,0,24,0,1,18,2,0,45,43
Chiredzi RDC,Chiredzi,Chiredzi East,25,Lisenga Creche,Pre-Sch block,0,86,0,1,24,1,0,112,111
Chiredzi RDC,Chiredzi,Chiredzi East,25,Muteyo DDF,DDF Office,1,80,0,4,35,2,0,122,120
Chiredzi RDC,Chiredzi,Chiredzi East,25,Muteyo Pry,School,1,118,1,1,24,3,0,148,145
Chiredzi RDC,Chiredzi,Chiredzi East,31,Gozonya Pry,School,0,24,0,1,36,4,0,65,61
Chiredzi RDC,Chiredzi,Chiredzi East,31,Machureni Pry,School,4,220,0,6,51,10,0,291,281
Chiredzi RDC,Chiredzi,Chiredzi East,31,Nyawagi Pry,School,8,329,2,17,72,26,0,454,428
Chiredzi RDC,Chiredzi,Chiredzi East,31,Section 15 Creche,Pre-Sch block,0,82,0,1,47,1,0,131,130
Chiredzi RDC,Chiredzi,Chiredzi East,31,Section 18 Creche,Pre-Sch block,0,174,0,3,90,1,0,268,267
Chiredzi RDC,Chiredzi,Chiredzi East,31,Section 27  Creche,Pre-Sch block,5,290,3,10,124,12,0,444,432
Chiredzi RDC,Chiredzi,Chiredzi East,31,Section 8 Creche,Pre-Sch block,0,120,1,4,49,8,0,182,174
Chiredzi RDC,Chiredzi,Chiredzi North,1,Dikitiki Pry,School,1,176,0,1,4,2,0,184,182
Chiredzi RDC,Chiredzi,Chiredzi North,1,Dombo Pry,School,1,286,3,11,62,1,0,364,363
Chiredzi RDC,Chiredzi,Chiredzi North,1,Maporoma Pry,School,0,68,0,5,4,4,0,81,77
Chiredzi RDC,Chiredzi,Chiredzi North,1,Tagurana Pre-School,Pre-Sch block,1,221,3,6,18,10,0,259,249
Chiredzi RDC,Chiredzi,Chiredzi North,1,Zungudza Pry,School,2,152,0,4,21,7,0,186,179
Chiredzi RDC,Chiredzi,Chiredzi North,2,Manyaya Creche,Pre-Sch block,0,62,2,3,18,1,0,86,85
Chiredzi RDC,Chiredzi,Chiredzi North,2,Mareya Pry,School,0,139,1,3,46,1,0,190,189
Chiredzi RDC,Chiredzi,Chiredzi North,2,Mutapurwa Pry,School,4,288,0,11,28,7,0,338,331
Chiredzi RDC,Chiredzi,Chiredzi North,2,Ndari Pre- School,Pre-Sch block,1,117,0,2,12,4,0,136,132
Chiredzi RDC,Chiredzi,Chiredzi North,2,St Joseph Pry,School,2,131,2,1,27,14,0,177,163
Chiredzi RDC,Chiredzi,Chiredzi North,16,Banga Homestead,Homestead,18,787,5,2,10,21,0,843,822
Chiredzi RDC,Chiredzi,Chiredzi North,16,Bhomba Pry,School,7,730,2,0,9,10,0,758,748
Chiredzi RDC,Chiredzi,Chiredzi North,16,Chipabwe Pry,Tent,5,571,1,2,12,9,0,600,591
Chiredzi RDC,Chiredzi,Chiredzi North,16,Chisase Pry,School,5,650,1,2,21,4,0,683,679
Chiredzi RDC,Chiredzi,Chiredzi North,16,Game Scout Camp,Game house,2,343,1,1,15,5,0,367,362
Chiredzi RDC,Chiredzi,Chiredzi North,16,Gwerima Pry,School,1,320,1,1,15,4,0,342,338
Chiredzi RDC,Chiredzi,Chiredzi North,16,Magudu Ranch,Tent,1,329,1,0,15,1,0,347,346
Chiredzi RDC,Chiredzi,Chiredzi North,16,Masimbiti Pry,School,1,647,0,1,9,5,0,663,658
Chiredzi RDC,Chiredzi,Chiredzi North,16,Mawiro Pry,Tent,2,354,2,3,9,5,0,375,370
Chiredzi RDC,Chiredzi,Chiredzi North,16,Nuanetsi HQ Mtilikwe,Homestead,1,296,2,0,24,5,0,328,323
Chiredzi RDC,Chiredzi,Chiredzi North,16,Uswaushava Pry,School,1,488,0,0,15,4,0,508,504
Chiredzi RDC,Chiredzi,Chiredzi North,16,Zvemombe Base,Tent,19,834,0,1,20,14,0,888,874
Chiredzi RDC,Chiredzi,Chiredzi North,17,Bangala Safari Camp,Hall,13,796,1,4,5,10,0,829,819
Chiredzi RDC,Chiredzi,Chiredzi North,17,Crown Range Sec,School,6,641,2,5,18,15,0,687,672
Chiredzi RDC,Chiredzi,Chiredzi North,17,Faversham Ranch H/stead,Farmhouse,9,690,3,6,21,9,0,738,729
Chiredzi RDC,Chiredzi,Chiredzi North,17,Mapfupaamuka Pry,School,9,650,2,3,23,20,0,707,687
Chiredzi RDC,Chiredzi,Chiredzi North,17,Masimbaavanhu Pry,School,4,789,2,6,25,17,0,843,826
Chiredzi RDC,Chiredzi,Chiredzi North,17,Masimbaavanhu Sec,School,3,608,1,4,13,8,0,637,629
Chiredzi RDC,Chiredzi,Chiredzi North,17,Nyabongwe Pry,School,0,506,0,2,22,6,0,536,530
Chiredzi RDC,Chiredzi,Chiredzi North,17,Samba Sec,School,0,463,0,0,9,7,0,479,472
Chiredzi RDC,Chiredzi,Chiredzi North,17,Tagarika Pry,Tent,4,311,1,1,11,16,0,344,328
Chiredzi RDC,Chiredzi,Chiredzi North,20,Chikwirire Sec.,School,1,685,1,4,15,9,0,715,706
Chiredzi RDC,Chiredzi,Chiredzi North,20,Judia Pry  - A,School,0,522,0,0,8,5,0,535,530
Chiredzi RDC,Chiredzi,Chiredzi North,20,Judia Pry  B,School,1,488,0,0,8,1,0,498,497
Chiredzi RDC,Chiredzi,Chiredzi North,20,Ngwane Pry,School,4,557,2,0,13,4,0,580,576
Chiredzi RDC,Chiredzi,Chiredzi North,20,Ruware Filling Station,Shed,3,417,0,2,17,4,0,443,439
Chiredzi RDC,Chiredzi,Chiredzi North,20,Ruware Pry,School,3,801,2,5,25,8,0,844,836
Chiredzi RDC,Chiredzi,Chiredzi North,20,ZINWA Main Camp,Hall,0,746,2,6,16,7,0,777,770
Chiredzi RDC,Chiredzi,Chiredzi North,21,Chipiwa Pry,School,3,360,1,8,77,14,0,463,449
Chiredzi RDC,Chiredzi,Chiredzi North,21,Mkwasine Jete Hall,Tent,6,339,3,41,220,14,0,623,609
Chiredzi RDC,Chiredzi,Chiredzi North,21,Mkwasine Pry,School,4,348,1,14,234,8,0,609,601
Chiredzi RDC,Chiredzi,Chiredzi North,21,Mkwasine Sec.,School,2,245,1,13,111,22,0,394,372
Chiredzi RDC,Chiredzi,Chiredzi North,21,Porepore Pry,School,1,206,1,6,57,3,0,274,271
Chiredzi RDC,Chiredzi,Chiredzi North,21,Rukope Pry,School,2,147,0,8,47,2,0,206,204
